district,price,lon,lat,floor_area,number_floors,room_number,number_bathroom,school_district,rate,distance_metro,distance_hospital,distance_sea
440304,127974,114.01506,22.53943,60.95,7,3,1,1,13.96,464.4161805,2748.299411,1940.296089
440305,69613,113.91803,22.53931,81.02,12,2,1,0,0,477.7364656,568.1777139,5922.440416
440304,52055,114.08713,22.53929,73,20,2,1,0,0,520.7715892,686.0940485,7342.492206
440304,55475,114.08714,22.53928,72.83,20,2,1,0,0,520.7715892,686.0940485,7342.492206
440304,68104,114.08715,22.53927,90.45,7,3,1,0,0,520.7715892,686.0940485,7342.492206
440304,69501,114.08716,22.53926,74.82,7,2,1,0,0,520.7715892,686.0940485,7342.492206
440304,67249,114.08963,22.53921,48.15,29,1,1,0,0,353.3873727,926.0134682,7246.050155
440304,66344,114.08964,22.53922,47.48,29,3,1,0,0,353.3873727,926.0134682,7246.050155
440304,62854,114.08965,22.53923,47.73,29,1,1,0,0,353.3873727,926.0134682,7246.050155
440304,61076,114.08966,22.53924,47.81,29,1,1,0,0,353.3873727,926.0134682,7246.050155
440304,53663,114.08967,22.53925,37.27,29,1,1,0,0,353.3873727,926.0134682,7246.050155
440304,53126,114.08968,22.53926,37.27,29,1,0,0,0,353.3873727,926.0134682,7246.050155
440304,51667,114.08969,22.53927,48,29,1,1,0,0,353.3873727,926.0134682,7246.050155
